駅コード	駅名	備考
0d46	銭函	
0d48	ほしみ	
0d49	星置	
0d4a	稲穂	
0d4b	手稲	
0d4d	稲積公園	
0d4e	発寒	
0d4f	発寒中央	
0d50	琴似	
0d52	桑園	
0d53	札幌	
0d54	苗穂	
0d56	白石	
0d58	厚別	
0d59	森林公園	
0d5a	大麻	
0d5c	野幌	
0d5d	高砂	
0d5e	江別	
0d60	豊幌	
0d62	幌向	
0d64	上幌向	
0d66	岩見沢	
0d68	峰延	
0d6a	光珠内	
0d6c	美唄	
0d6e	茶志内	
0d6f	奈井江	
0d70	豊沼	
0d71	砂川	
0d73	滝川	
0d74	江部乙	
0d75	妹背牛	
0d76	深川	
0d78	納内	
0d7a	近文	
0d7c	旭川	
0d7d	新旭川	#unused
0d7e	南永山	
0d7f	東旭川	
0d80		2021-03-12/北日ノ出
0d81	桜岡	
0d83	当麻	
0d84		2021-03-12/将軍山
0d85	伊香牛	
0d86	愛別	
0d88	中愛別	
0d89		2024-03-15/愛山
0d8a	安足間	
0d8b		2021-03-12/東雲
0d8d	上川	
0d92		2016-03-25/上白滝
0d93	白滝	
0d94		2016-03-25/旧白滝
0d95	下白滝(信)	2016-03-25/下白滝
0d96	丸瀬布	
0d98	瀬戸瀬	
0d9a	遠軽	
0d9b	安国	
0d9c		2021-03-12/生野
0d9d	生田原	
0d9e	金華(信)	2016-03-25/金華
0d9f	西留辺蘂	
0da0	留辺蘂	
0da2	相内	
0da3	東相内	
0da4	西北見	
0da6	北見	
0da7	柏陽	
0da8	愛し野	
0da9	端野	
0daa	緋牛内	
0dac	美幌	
0dad	西女満別	
0dae	女満別	
0daf	呼人	
0db1	網走	
0e01	滝川	#unused
0e02	東滝川(信)	2025-03-14/東滝川
0e03	赤平	
0e04	茂尻	
0e06	平岸	
0e07	芦別	
0e08	上芦別	
0e09	野花南	
0e0d	富良野	
0e0e		2024-03-31/布部
0e10		2024-03-31/山部
0e11		2024-03-31/下金山
0e12		2024-03-31/金山
0e13		2024-03-31/東鹿越
0e15		2024-03-31/幾寅
0e16		2024-03-31/落合
0e17	新得	
0e18	十勝清水	
0e1b	御影	
0e1c	芽室	
0e1d	大成	
0e1f	西帯広	
0e20	柏林台	
0e21	帯広	
0e22	札内	
0e25	幕別	
0e26	利別	
0e28	池田	
0e29	十弗	
0e2a	豊頃	
0e2b	新吉野	
0e2d	浦幌	
0e2e	上厚内(信)	2017-03-03/上厚内
0e2f	厚内	
0e33	音別	
0e34	古瀬(信)	2020-03-13/古瀬
0e35	白糠	
0e37	西庶路	
0e38	庶路	
